NpcTypeId,Name
4,Bruce
4,Ran
4,Adandy
4,Hart
4,Bran
4,Briandy
4,Hardon
4,Derry
4,Donat
4,Stuanda
4,Adren
4,Pett
4,Art
4,Scot
4,Andron
4,Dan
4,Den
4,Stuan
4,Jack
4,Justore
4,Henjame
4,Carlex
4,Anthewa
4,Joel
4,Mat
4,And
4,Pathael
4,Dart
4,Adroy
4,Hen
4,Rodd
4,Ted
4,Thon
4,Brey
4,Ted
4,Ric
4,Marc
4,Edwarry
4,Rick
4,Patharc
4,Maroy
4,Justoph
4,Brey
4,Benjan
4,Steremy
4,Vicarry
4,Den
4,Sterry
4,Dave
4,Eris
4,Cran
4,Coretth
4,Jeffrey
4,Bris
4,Corge
4,Geordo
4,Alejam
4,Walter
4,Carley
5,Barbarossa Brothers
5,Bartolomeo
5,Benito de Soto
5,Black Bart
5,Black Beard
5,Black Bellamy
5,Black Caesar
5,Buccaneers Servant
5,Calico Jack
5,Captain Benjamin Hornigold
5,Captain Blood
5,Captain Bully Hayes
5,Captain Charles Vane
5,Captain Christopher Mings
5,Captain Clegg
5,Captain Edward England
5,Captain Enrique Brower
5,Captain George Booth
5,Captain George Lowther
5,Captain Hector Barbossa
5,Captain Henry Every
5,Captain Hook
5,Captain Horatio McCallister
5,Captain Jack Dancer
5,Captain Jack Rackam
5,Captain Jack Sparrow
5,Captain Jackman
5,Captain James Kelley
5,Captain Jan de Bouff
5,Captain John Bowen
5,Captain John Calles
5,Captain Kennit
5,Captain Pugwash
5,Captain Thomas Bartholomew Red
5,Captain Walker D. Plank
5,Captains Executioner
5,Cervantes de Leon
5,Gunpowder Gertie
5,Guybrush Threepwood
5,Long John Silver
5,Morgan
5,Murderers Secret
5,Posideons Killer
5,Privateers Greed
5,Privateers Howl
5,Red Rackham
5,Sandokan
5,Seas Cruelty
5,Steve The Pirat
5,The Black Pirate
5,The Bloody Fall
5,The Bloody Sadness
5,The Crimson Pirate
5,The Damnation of the Hangman
5,The Dirty Servant
5,The Disgraceful Knave
5,The Dishonor of the North
5,The Fear of the Serpent
5,The Foul Corsair
5,The Horrible Buccaneer of the East
5,The Horrid Slave
5,The Howl of the Manta
5,The Howl of the Wolf
5,The Insanity of Atlantis
5,The Pirates of Dark Water
5,The Pirates of Penzance
5,The Poison Lightning
5,The Rage of the Shark
5,The Sea Captain
5,The Vile Executioner
6,Amulus
6,Amus
6,Bellora
6,Cerpine
6,Certumnus
6,Chariter
6,Cupine
6,Cupithras
6,Cupities
6,Decundus
6,Discorae
6,Discoras
6,Fora
6,Forae
6,Fortuno
6,Furiter
6,Furn
6,Horas
6,Hortuno
6,Horturn
6,Lariter
6,Larities
6,Lucimus
6,Mamillus
6,Mares
6,Merva
6,Mora
6,Moras
6,Mortumnus
6,Nepturn
6,Numercus
6,Numertius
6,Numus
6,Secimus
6,Secius
6,Septius
6,Serius
6,Tercus
6,Tertimus
6,Tibertius
6,Tibervius
6,Viberius
6,Vibertius
